2026/07/19 14:54:32 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:33 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:34 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:35 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:36 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:37 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:38 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:39 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:40 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:41 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:42 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:43 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:44 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:45 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:46 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:47 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:48 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:49 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:50 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:51 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:52 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:53 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:54 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:55 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:56 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:57 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:58 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:54:59 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:00 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:01 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:02 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:03 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:04 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:05 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:06 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:07 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:08 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:09 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:10 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:11 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:12 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:13 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:14 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:15 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:16 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:17 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:18 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:19 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:20 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:21 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:22 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:23 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:24 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:25 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:26 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:27 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:28 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:29 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:30 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:31 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:32 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:33 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:34 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:35 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:36 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:37 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:38 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:39 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:40 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:41 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:42 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:43 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:44 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:45 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:46 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:47 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:48 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:49 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:50 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:51 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:52 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:53 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:54 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:55 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:56 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:57 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:58 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:55:59 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:00 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:01 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:02 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:56:03 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
